Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3566,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.002,
Label,,
TIME,CH1,CH1 Peak Detect
-2.0000e+01,-0.0022,0.0006
-1.9992e+01,-0.0022,-0.00572
-1.9985e+01,-0.00172,0.00084
-1.9977e+01,-0.00204,-0.00508
-1.9969e+01,-0.0022,0.00268
-1.9962e+01,-0.0018,-0.00756
-1.9954e+01,-0.00228,0.00268
-1.9946e+01,-0.00188,-0.00764
-1.9939e+01,-0.00196,0.00116
-1.9931e+01,-0.00188,-0.00508
-1.9923e+01,-0.00196,0.00268
-1.9916e+01,-0.00172,-0.00676
-1.9908e+01,-0.0018,0.00244
-1.9900e+01,-0.00172,-0.00644
-1.9892e+01,-0.00156,0.00244
-1.9885e+01,-0.00164,-0.00668
-1.9877e+01,-0.00204,-0.00036
-1.9869e+01,-0.00156,-0.003
-1.9862e+01,-0.0018,0.00132
-1.9854e+01,-0.00172,-0.00452
-1.9846e+01,-0.00164,0.00268
-1.9839e+01,-0.00188,-0.00708
-1.9831e+01,-0.00148,0.00188
-1.9823e+01,-0.00052,-0.00444
-1.9816e+01,-0.001,0.00268
-1.9808e+01,-0.00084,-0.00572
-1.9800e+01,-0.00052,0.00268
-1.9793e+01,-0.00108,-0.00604
-1.9785e+01,-0.00076,0.00132
-1.9777e+01,-0.00148,-0.00468
-1.9770e+01,-0.00156,0.00268
-1.9762e+01,-0.00156,-0.0062
-1.9754e+01,-0.00148,0.00196
-1.9747e+01,-0.00196,-0.00556
-1.9739e+01,-0.00164,0.00268
-1.9731e+01,-0.00244,-0.00732
-1.9724e+01,-0.00244,0.00268
-1.9716e+01,-0.0022,-0.0066
-1.9708e+01,-0.0018,0.00212
-1.9700e+01,-0.00164,-0.0066
-1.9693e+01,-0.00212,0.00028
-1.9685e+01,-0.00212,-0.00468
-1.9677e+01,-0.00236,0.00012
-1.9670e+01,-0.00204,-0.00468
-1.9662e+01,-0.00244,0.00196
-1.9654e+01,-0.0026,-0.00588
-1.9647e+01,-0.00276,0.00244
-1.9639e+01,-0.00292,-0.00676
-1.9631e+01,-0.00268,0.00052
-1.9624e+01,-0.00276,-0.0062
-1.9616e+01,-0.00292,0.00172
-1.9608e+01,-0.00236,-0.00644
-1.9601e+01,-0.00284,0.00092
-1.9593e+01,-0.00236,-0.00612
-1.9585e+01,-0.00244,0.0018
-1.9578e+01,-0.0026,-0.00724
-1.9570e+01,-0.0026,0.00268
-1.9562e+01,-0.00284,-0.00788
-1.9555e+01,-0.00228,0.00268
-1.9547e+01,-0.00236,-0.00676
-1.9539e+01,-0.00212,0.00268
-1.9531e+01,-0.00172,-0.00716
-1.9524e+01,-0.00188,0.00212
-1.9516e+01,-0.00164,-0.00628
-1.9508e+01,-0.00188,0.00236
-1.9501e+01,-0.00196,-0.0066
-1.9493e+01,-0.0022,0.0026
-1.9485e+01,-0.00196,-0.00724
-1.9478e+01,-0.0022,0.00028
-1.9470e+01,-0.00212,-0.00468
-1.9462e+01,-0.00172,0.00252
-1.9455e+01,-0.0022,-0.00652
-1.9447e+01,-0.00268,0.00148
-1.9439e+01,-0.0022,-0.007
-1.9432e+01,-0.00204,0.00268
-1.9424e+01,-0.00244,-0.0074
-1.9416e+01,-0.00228,0.0006
-1.9409e+01,-0.0022,-0.00516
-1.9401e+01,-0.00252,0.00268
-1.9393e+01,-0.00228,-0.00764
-1.9386e+01,-0.00268,0.00172
-1.9378e+01,-0.0022,-0.00588
-1.9370e+01,-0.00276,0.0002
-1.9363e+01,-0.00244,-0.00484
-1.9355e+01,-0.00292,0.00116
-1.9347e+01,-0.00236,-0.00588
-1.9339e+01,-0.00204,0.00268
-1.9332e+01,-0.00212,-0.00836
-1.9324e+01,-0.00212,0.00268
-1.9316e+01,-0.00204,-0.0082
-1.9309e+01,-0.00228,0.00268
-1.9301e+01,-0.00228,-0.0078
-1.9293e+01,-0.0022,-0.00092
-1.9286e+01,-0.00172,-0.0034
-1.9278e+01,-0.00244,0.00268
-1.9270e+01,-0.00188,-0.00716
-1.9263e+01,-0.00228,0.00268
-1.9255e+01,-0.00196,-0.00772
-1.9247e+01,-0.00228,0.00268
-1.9240e+01,-0.00164,-0.0074
-1.9232e+01,-0.00188,0.00268
-1.9224e+01,-0.00164,-0.00724
-1.9217e+01,-0.00156,0.00252
-1.9209e+01,-0.00164,-0.0066
-1.9201e+01,-0.00196,0.00132
-1.9194e+01,-0.0022,-0.00508
-1.9186e+01,-0.00196,0.00268
-1.9178e+01,-0.00236,-0.00756
-1.9171e+01,-0.00196,0.00212
-1.9163e+01,-0.00212,-0.00724
-1.9155e+01,-0.0022,0.00132
-1.9147e+01,-0.00228,-0.00636
-1.9140e+01,-0.00172,0.00268
-1.9132e+01,-0.00196,-0.00764
-1.9124e+01,-0.00196,0.0022
-1.9117e+01,-0.00172,-0.00628
-1.9109e+01,-0.0018,0.00252
-1.9101e+01,-0.00172,-0.00612
-1.9094e+01,-0.0018,0.00132
-1.9086e+01,-0.00164,-0.00508
-1.9078e+01,-0.00196,0.00268
-1.9071e+01,-0.00244,-0.0074
-1.9063e+01,-0.00204,0.00196
-1.9055e+01,-0.00228,-0.00636
-1.9048e+01,-0.00244,0.00268
-1.9040e+01,-0.0026,-0.00708
-1.9032e+01,-0.00228,-0.00036
-1.9025e+01,-0.003,-0.00556
-1.9017e+01,-0.00324,0.00268
-1.9009e+01,-0.00324,-0.0086
-1.9002e+01,-0.00308,0.00236
-1.8994e+01,-0.00308,-0.00868
-1.8986e+01,-0.00308,0.00244
-1.8978e+01,-0.0026,-0.00756
-1.8971e+01,-0.00244,0.00228
-1.8963e+01,-0.0026,-0.0078
-1.8955e+01,-0.00284,0.00268
-1.8948e+01,-0.00276,-0.00852
-1.8940e+01,-0.00252,0.00228
-1.8932e+01,-0.00252,-0.0082
-1.8925e+01,-0.00284,0.00116
-1.8917e+01,-0.00268,-0.00684
-1.8909e+01,-0.0026,0.00268
-1.8902e+01,-0.00228,-0.00724
-1.8894e+01,-0.00308,-0.00124
-1.8886e+01,-0.00244,-0.00364
-1.8879e+01,-0.00244,0.00268
-1.8871e+01,-0.00196,-0.00692
-1.8863e+01,-0.0022,0.00268
